Date,"Previous Date",Keyword,Labels,Position,"Position Change",URL,"Prev. Position","Citation Rank","Top AIO Source","Set Target URL","Target URL Status","Best Position",Page,"Page Change","SERP Features","AI Brand Mentions",Citations,"Search Intent","Previous Search Intent","Keyword Difficulty","Search Volume","Search Volume YoY change",Impressions,Clicks
2026-07-13,2026-07-06,brandwide,Branded,1,0,https://meetbrandwide.com/,1,-,-,-,"not set",1,1,0,"Organic,Reviews,Knowledge panel,Sitelinks,Images,Videos",,,Commercial,Commercial,39,70,-22%,154,46
2026-07-13,2026-07-06,"franchise management system","Close Variants",1,0,https://meetbrandwide.com/,1,2,https://meetbrandwide.com/,-,"not set",1,1,0,"Organic,AI Overviews,Reviews,Videos",,https://meetbrandwide.com/,"Commercial,Informational",Commercial,29,50,-64%,887,2
2026-07-13,2026-07-06,"franchise software","Close Variants",1,0,https://meetbrandwide.com/franchise-management-software/,1,-,-,-,"not set",1,1,0,"Organic,AI Overviews,Reviews,People also ask,Videos",https://meetbrandwide.com/franchise-management-software/,,Commercial,Commercial,34,140,-71%,1462,2
2026-07-13,2026-07-06,"franchisee management software","Close Variants",1,0,https://meetbrandwide.com/,1,2,https://meetbrandwide.com/,-,"not set",1,1,0,"Organic,AI Overviews,Reviews,Videos",https://meetbrandwide.com/,https://meetbrandwide.com/,Commercial,Commercial,30,10,0%,192,0
2026-07-13,2026-07-06,"franchising software","Close Variants",1,0,https://meetbrandwide.com/franchise-management-software/,1,-,-,-,"not set",1,1,0,"Organic,AI Overviews,Reviews,People also ask,Videos",https://meetbrandwide.com/franchise-management-software/,,Commercial,Commercial,32,140,-71%,251,0
2026-07-13,2026-07-06,"software for franchise management",-,1,0,https://meetbrandwide.com/,1,2,https://meetbrandwide.com/,-,"not set",1,1,0,"Organic,AI Overviews,Reviews,People also ask,Videos",https://meetbrandwide.com/,https://meetbrandwide.com/,Commercial,Commercial,27,260,-56%,446,0
2026-07-13,2026-07-06,"franchise management app",-,1,0,https://meetbrandwide.com/,1,-,-,-,"not set",1,1,0,"Organic,AI Overviews,Reviews,Videos",,,Commercial,Commercial,29,10,0%,268,0
2026-07-13,2026-07-06,"franchisee management system",-,1,0,https://meetbrandwide.com/,1,2,https://meetbrandwide.com/,-,"not set",1,1,0,"Organic,AI Overviews,Reviews,Videos",,https://meetbrandwide.com/,"Informational,Commercial",Commercial,28,10,0%,245,0
2026-07-13,2026-07-06,"franchise management systems","Close Variants",1,37,https://meetbrandwide.com/,38,2,https://meetbrandwide.com/,-,"not set",1,1,3,"Organic,AI Overviews,Reviews,People also ask,Videos",,https://meetbrandwide.com/,"Commercial,Informational",Commercial,28,50,-64%,156,0
2026-07-13,2026-07-06,"software franchise","Close Variants",1,0,https://meetbrandwide.com/franchise-management-software/,1,-,-,-,"not set",1,1,0,"Organic,AI Overviews,Reviews,Videos",https://meetbrandwide.com/franchise-management-software/,,Commercial,Commercial,30,140,-71%,102,0
